query,x[m],y[m],z[m],th[deg],ph[deg],query_pix,dilated_pix,lapse time[ms]
0,\workspa,e\UMap\S,N\gazebo,am\que,\query,4115,4115,277
DB No.,x[m],y[m],z[m],th[deg],ph[deg],A,B,Bcon,C,D,E,Econ,F,sim_index,SPV_and,SPV_in, SPV_db 
0000034,-008.350,-002.000,0000.200,0000.0,0000.0,2624,1234,711,257,1327,10754,5745,45244,0.177876,0,12,0
0000035,-008.300,-002.000,0000.200,0000.0,0000.0,2513,1486,690,116,1465,10509,5787,45351,0.144444,0,11,0
0000036,-008.250,-002.000,0000.200,0000.0,0000.0,3247,849,429,19,1557,11123,6026,44645,0.0789845,0,11,0
0000037,-008.200,-002.000,0000.200,0000.0,0000.0,3555,534,203,26,1567,9855,5488,45903,0.0403027,11,11,26
0000038,-008.150,-002.000,0000.200,0000.0,0000.0,3633,465,126,17,1597,8375,4829,47353,0.025035,0,12,0
0000039,-008.100,-002.000,0000.200,0000.0,0000.0,3522,577,160,16,1412,9153,4919,46760,0.0318437,0,11,0
0000040,-008.050,-002.000,0000.200,0000.0,0000.0,3148,940,486,27,1606,8092,4698,47627,0.0896696,0,12,0
0000041,-008.000,-002.000,0000.200,0000.0,0000.0,3611,492,248,12,1443,5597,3555,50285,0.0467794,0,12,0
0000042,-007.950,-002.000,0000.200,0000.0,0000.0,3654,452,311,9,1246,6100,3860,49979,0.0596904,0,9,0
0000043,-007.900,-002.000,0000.200,0000.0,0000.0,3638,242,152,235,1139,6675,4309,49511,0.0736582,0,10,0
0000044,-007.850,-002.000,0000.200,0000.0,0000.0,3403,672,317,40,1380,6689,4468,49256,0.0649682,0,8,0
0000045,-007.800,-002.000,0000.200,0000.0,0000.0,3177,886,412,52,1395,7151,4785,48779,0.0842105,0,8,0
0000046,-007.750,-002.000,0000.200,0000.0,0000.0,2956,999,639,160,1399,7661,4895,48265,0.144904,0,10,0
0000047,-007.700,-002.000,0000.200,0000.0,0000.0,2718,1248,804,149,1565,8361,5299,47399,0.167782,0,10,0
0000048,-007.650,-002.000,0000.200,0000.0,0000.0,2585,1481,862,49,1705,9392,5951,46228,0.156529,0,9,0
0000049,-007.600,-002.000,0000.200,0000.0,0000.0,2535,1430,956,150,1625,10834,6531,44866,0.192683,0,10,0
0000050,-007.550,-002.000,0000.200,0000.0,0000.0,2470,1614,866,31,1774,12295,7432,43256,0.152318,0,8,0
0000051,-007.500,-002.000,0000.200,0000.0,0000.0,2561,1524,672,30,1845,13930,8505,41550,0.117785,0,8,0
0000052,-007.450,-002.000,0000.200,0000.0,0000.0,1773,1954,1045,388,1815,15181,8896,40329,0.241653,0,13,0
0000053,-007.400,-002.000,0000.200,0000.0,0000.0,1964,2027,1210,124,1848,14790,8431,40687,0.223713,0,11,0
0000054,-007.350,-002.000,0000.200,0000.0,0000.0,2876,1218,731,21,1489,11383,6625,44453,0.13419,0,8,0
0000055,-007.300,-002.000,0000.200,0000.0,0000.0,3108,878,461,129,1392,12899,7409,43034,0.107136,0,8,0
0000056,-007.250,-002.000,0000.200,0000.0,0000.0,2868,1007,583,240,1314,13104,7329,42907,0.151593,0,8,0
0000057,-007.200,-002.000,0000.200,0000.0,0000.0,3486,615,381,14,1417,10705,6132,45203,0.0714027,0,8,0
0000058,-007.150,-002.000,0000.200,0000.0,0000.0,3008,1089,627,18,1458,11154,6317,44713,0.115737,0,8,0
0000059,-007.100,-002.000,0000.200,0000.0,0000.0,3243,856,314,16,1644,11586,7002,44095,0.0573016,0,10,0
0000060,-007.050,-002.000,0000.200,0000.0,0000.0,3258,844,313,13,1265,9028,5300,47032,0.0605948,0,8,0
0000061,-007.000,-002.000,0000.200,0000.0,0000.0,3063,1033,377,19,1272,9553,5206,46500,0.0735103,0,8,0
0000062,-006.950,-002.000,0000.200,0000.0,0000.0,3057,1031,458,27,1351,9021,5275,46953,0.0887303,0,8,0
0000063,-006.900,-002.000,0000.200,0000.0,0000.0,3146,837,447,132,1140,9268,5327,46917,0.110181,0,9,0
0000064,-006.850,-002.000,0000.200,0000.0,0000.0,3031,1062,598,22,1256,9175,5277,46894,0.115435,0,8,0
0000065,-006.800,-002.000,0000.200,0000.0,0000.0,2718,1288,549,109,1190,9073,5433,47062,0.124034,0,9,0
0000066,-006.750,-002.000,0000.200,0000.0,0000.0,2606,1492,571,17,1400,8862,5381,47063,0.106618,0,9,0
0000067,-006.700,-002.000,0000.200,0000.0,0000.0,2915,1175,566,25,1496,9368,5459,46461,0.105329,0,9,0
0000068,-006.650,-002.000,0000.200,0000.0,0000.0,3096,911,426,108,1189,9840,5751,46296,0.100679,0,9,0
0000069,-006.600,-002.000,0000.200,0000.0,0000.0,3189,907,422,19,1414,9995,5824,45916,0.0797613,0,8,0
0000070,-006.550,-002.000,0000.200,0000.0,0000.0,3386,710,319,19,1429,10363,6020,45533,0.0609668,0,8,0
0000071,-006.500,-002.000,0000.200,0000.0,0000.0,3482,614,341,19,1445,10643,6126,45237,0.0647482,0,8,0
0000072,-006.450,-002.000,0000.200,0000.0,0000.0,3482,614,375,19,1463,10843,6214,45019,0.0706346,0,8,0
0000073,-006.400,-002.000,0000.200,0000.0,0000.0,3482,505,300,128,1385,11215,6454,44725,0.0778182,0,8,0
0000074,-006.350,-002.000,0000.200,0000.0,0000.0,2965,1019,555,131,1512,11000,6336,44813,0.121912,0,9,0
0000075,-006.300,-002.000,0000.200,0000.0,0000.0,2830,1263,666,22,1715,10982,6296,44628,0.11801,0,9,0
0000076,-006.250,-002.000,0000.200,0000.0,0000.0,3034,1067,609,14,1635,11590,6579,44100,0.108348,0,10,0
0000077,-006.200,-002.000,0000.200,0000.0,0000.0,3241,859,316,15,1569,11988,7155,43768,0.0582336,0,9,0
0000078,-006.150,-002.000,0000.200,0000.0,0000.0,3258,839,341,18,1304,8942,5293,47079,0.0662484,0,7,0
0000079,-006.100,-002.000,0000.200,0000.0,0000.0,3161,942,327,12,1211,9059,5406,47055,0.06365,0,7,0
0000080,-006.050,-002.000,0000.200,0000.0,0000.0,3165,928,385,22,1316,9058,5342,46951,0.0749402,0,8,0
0000081,-006.000,-002.000,0000.200,0000.0,0000.0,3146,722,346,247,1198,9419,5447,46708,0.111613,0,10,0
0000082,-005.950,-002.000,0000.200,0000.0,0000.0,3031,1062,598,22,1300,9171,5235,46854,0.114497,0,8,0
0000083,-005.900,-002.000,0000.200,0000.0,0000.0,2820,1087,465,208,1059,8598,5077,47668,0.130073,0,9,0
0000084,-005.850,-002.000,0000.200,0000.0,0000.0,2606,1485,630,24,1327,9015,5399,46983,0.120176,0,7,0
0000085,-005.800,-002.000,0000.200,0000.0,0000.0,2920,1180,541,15,1226,9474,5583,46625,0.1041,0,7,0
0000086,-005.750,-002.000,0000.200,0000.0,0000.0,3096,911,425,108,1234,9816,5759,46275,0.0996448,0,9,0
0000087,-005.700,-002.000,0000.200,0000.0,0000.0,3194,907,421,14,1430,9938,5790,45957,0.0784491,0,9,0
0000088,-005.650,-002.000,0000.200,0000.0,0000.0,3392,708,317,15,1419,10342,5967,45564,0.0599928,0,9,0
0000089,-005.600,-002.000,0000.200,0000.0,0000.0,3482,614,341,19,1473,10620,6062,45232,0.0644238,0,8,0
0000090,-005.550,-002.000,0000.200,0000.0,0000.0,3482,613,373,20,1560,10741,6072,45024,0.0692511,0,9,0
0000091,-005.500,-002.000,0000.200,0000.0,0000.0,3482,503,298,130,1470,11071,6296,44784,0.0766338,0,9,0
0000092,-005.450,-002.000,0000.200,0000.0,0000.0,2965,1021,506,129,1453,10973,6376,44899,0.114045,0,8,0
0000093,-005.400,-002.000,0000.200,0000.0,0000.0,2962,1023,630,130,1595,11231,6416,44499,0.1331,0,8,0
0000094,-005.350,-002.000,0000.200,0000.0,0000.0,3029,1074,654,12,1628,11652,6611,44045,0.115967,0,8,0
0000095,-005.300,-002.000,0000.200,0000.0,0000.0,3351,750,312,14,1557,12235,7062,43533,0.0574753,0,9,0
0000096,-005.250,-002.000,0000.200,0000.0,0000.0,3260,842,308,13,1163,8991,5292,47171,0.0608185,0,7,0
0000097,-005.200,-002.000,0000.200,0000.0,0000.0,3161,942,327,12,1176,9104,5354,47045,0.0640711,0,7,0
0000098,-005.150,-002.000,0000.200,0000.0,0000.0,3217,877,380,21,1185,9098,5273,47042,0.0756604,0,7,0
0000099,-005.100,-002.000,0000.200,0000.0,0000.0,3205,780,399,130,1005,9416,5424,46904,0.10332,0,7,0
0000100,-005.050,-002.000,0000.200,0000.0,0000.0,3083,897,514,135,1116,9436,5392,46773,0.124068,0,7,0
0000101,-005.000,-002.000,0000.200,0000.0,0000.0,2973,1035,514,107,1138,9297,5409,46890,0.118218,0,8,0
0000102,-004.950,-002.000,0000.200,0000.0,0000.0,2664,1434,595,17,1308,8965,5306,47052,0.112853,0,8,0
0000103,-004.900,-002.000,0000.200,0000.0,0000.0,2867,1231,544,17,1309,9255,5383,46761,0.103429,0,8,0
0000104,-004.850,-002.000,0000.200,0000.0,0000.0,3056,951,450,108,1135,9784,5675,46406,0.106286,0,8,0
0000105,-004.800,-002.000,0000.200,0000.0,0000.0,3244,859,448,12,1141,9358,5360,46826,0.087519,0,7,0
0000106,-004.750,-002.000,0000.200,0000.0,0000.0,3349,752,332,14,1372,10213,5928,45740,0.0630581,0,8,0
0000107,-004.700,-002.000,0000.200,0000.0,0000.0,3534,562,337,19,1516,10584,6059,45225,0.0632215,0,8,0
0000108,-004.650,-002.000,0000.200,0000.0,0000.0,3533,555,361,27,1412,10947,6174,44966,0.0702008,0,7,0
0000109,-004.600,-002.000,0000.200,0000.0,0000.0,3533,444,286,138,1412,11173,6303,44740,0.0767143,0,8,0
0000110,-004.550,-002.000,0000.200,0000.0,0000.0,3279,697,346,139,1434,11086,6290,44805,0.0874031,0,8,0
0000111,-004.500,-002.000,0000.200,0000.0,0000.0,3015,827,607,273,1312,11379,6338,44634,0.162152,0,9,0
0000112,-004.450,-002.000,0000.200,0000.0,0000.0,3063,894,572,158,1357,11819,6613,44149,0.133406,0,7,0
0000113,-004.400,-002.000,0000.200,0000.0,0000.0,3403,699,307,13,1523,12160,6975,43642,0.0567577,0,8,0
0000114,-004.350,-002.000,0000.200,0000.0,0000.0,3312,790,301,13,1228,8967,5229,47130,0.0587685,0,7,0
0000115,-004.300,-002.000,0000.200,0000.0,0000.0,3213,891,320,11,1164,9224,5417,46937,0.0627013,0,6,0
0000116,-004.250,-002.000,0000.200,0000.0,0000.0,3217,886,386,12,1277,9135,5268,46913,0.0738131,0,7,0
0000117,-004.200,-002.000,0000.200,0000.0,0000.0,3205,788,404,122,1151,9331,5288,46843,0.0998861,0,8,0
0000118,-004.150,-002.000,0000.200,0000.0,0000.0,3090,903,489,122,1153,9354,5313,46818,0.115983,0,8,0
0000119,-004.100,-002.000,0000.200,0000.0,0000.0,2973,1036,512,106,1099,9349,5370,46877,0.118527,0,7,0
0000120,-004.050,-002.000,0000.200,0000.0,0000.0,2664,1333,556,118,1218,9180,5431,46927,0.126383,0,7,0
0000121,-004.000,-002.000,0000.200,0000.0,0000.0,2867,1232,542,16,1338,9328,5503,46659,0.102329,0,7,0
0000122,-003.950,-002.000,0000.200,0000.0,0000.0,2959,944,388,212,1347,9750,5677,46228,0.10985,0,10,0
0000123,-003.900,-002.000,0000.200,0000.0,0000.0,3238,856,471,21,1714,9814,5522,45797,0.0844056,0,10,0
0000124,-003.850,-002.000,0000.200,0000.0,0000.0,3247,848,355,20,1632,10029,5747,45664,0.0652514,0,9,0
0000125,-003.800,-002.000,0000.200,0000.0,0000.0,3539,561,331,15,1606,10422,5837,45297,0.0604789,0,10,0
0000126,-003.750,-002.000,0000.200,0000.0,0000.0,3533,562,363,20,1660,10598,5922,45067,0.0663203,0,9,0
0000127,-003.700,-002.000,0000.200,0000.0,0000.0,3533,453,288,129,1307,10340,5777,45678,0.0769089,0,8,0
0000128,-003.650,-002.000,0000.200,0000.0,0000.0,3406,578,323,131,1471,11163,6295,44691,0.0812746,0,8,0
0000129,-003.600,-002.000,0000.200,0000.0,0000.0,3021,708,509,386,1348,11236,6202,44741,0.163829,0,11,0
0000130,-003.550,-002.000,0000.200,0000.0,0000.0,3059,1032,684,24,1804,11220,6133,44301,0.119615,0,8,0
0000131,-003.500,-002.000,0000.200,0000.0,0000.0,3403,699,302,13,1525,12136,6888,43664,0.0558511,0,8,0
0000132,-003.450,-002.000,0000.200,0000.0,0000.0,3312,790,320,13,1298,8889,5193,47138,0.0615186,0,7,0
0000133,-003.400,-002.000,0000.200,0000.0,0000.0,3213,884,394,18,1515,8841,5133,46969,0.0731794,0,8,0
0000134,-003.350,-002.000,0000.200,0000.0,0000.0,3015,1081,537,19,1531,8895,5147,46899,0.0984768,0,8,0
0000135,-003.300,-002.000,0000.200,0000.0,0000.0,3002,985,587,128,1415,9291,5216,46619,0.129295,0,9,0
0000136,-003.250,-002.000,0000.200,0000.0,0000.0,2988,1004,685,123,1314,9723,5321,46288,0.14883,0,9,0
0000137,-003.200,-002.000,0000.200,0000.0,0000.0,2871,1122,761,122,1434,9841,5237,46050,0.159128,0,9,0
0000138,-003.150,-002.000,0000.200,0000.0,0000.0,2664,1219,682,232,1315,10097,5414,45913,0.168324,0,9,0
0000139,-003.100,-002.000,0000.200,0000.0,0000.0,2758,1219,674,138,1420,10160,5461,45745,0.146703,0,8,0
0000140,-003.050,-002.000,0000.200,0000.0,0000.0,2908,1082,595,125,1412,10463,5642,45450,0.13027,0,9,0
0000141,-003.000,-002.000,0000.200,0000.0,0000.0,3022,1057,538,36,1644,10516,5722,45165,0.0996701,0,8,0
0000142,-002.950,-002.000,0000.200,0000.0,0000.0,2924,1167,414,24,1642,10587,5962,45096,0.0760813,0,9,0
0000143,-002.900,-002.000,0000.200,0000.0,0000.0,3154,925,363,36,1594,11190,6259,44541,0.0698896,0,7,0
0000144,-002.850,-002.000,0000.200,0000.0,0000.0,3050,1035,413,30,1636,11245,6295,44444,0.0770301,0,7,0
0000145,-002.800,-002.000,0000.200,0000.0,0000.0,3174,905,502,36,1821,11457,6209,44047,0.0906334,0,9,0
0000146,-002.750,-002.000,0000.200,0000.0,0000.0,3041,935,521,139,1634,11818,6513,43873,0.114803,0,9,0
0000147,-002.700,-002.000,0000.200,0000.0,0000.0,2605,1347,952,163,1667,11777,6346,43881,0.19284,0,9,0
0000148,-002.650,-002.000,0000.200,0000.0,0000.0,2504,1481,792,130,1724,12103,6885,43498,0.157904,0,9,0
0000149,-002.600,-002.000,0000.200,0000.0,0000.0,2875,1211,526,29,1694,12003,6943,43628,0.0955414,0,10,0
0000150,-002.550,-002.000,0000.200,0000.0,0000.0,3037,957,366,121,1460,9518,5637,46347,0.0873543,0,10,0
0000151,-002.500,-002.000,0000.200,0000.0,0000.0,3322,778,417,15,1571,9965,5781,45789,0.0759761,0,9,0
0000152,-002.450,-002.000,0000.200,0000.0,0000.0,3321,780,368,14,1572,10318,6060,45435,0.0671707,0,9,0
0000153,-002.400,-002.000,0000.200,0000.0,0000.0,3603,487,344,25,1673,10838,6273,44814,0.0637526,0,10,0
0000154,-002.350,-002.000,0000.200,0000.0,0000.0,3586,404,287,125,1576,11380,6686,44369,0.072395,0,10,0
0000155,-002.300,-002.000,0000.200,0000.0,0000.0,3354,742,383,19,1604,11469,6942,44252,0.070292,0,8,0
0000156,-002.250,-002.000,0000.200,0000.0,0000.0,3227,760,439,128,1512,11723,7138,44090,0.100764,0,8,0
0000157,-002.200,-002.000,0000.200,0000.0,0000.0,2393,1349,892,373,1259,11346,6909,44720,0.235393,0,9,0
0000158,-002.150,-002.000,0000.200,0000.0,0000.0,2257,1711,874,147,1493,11690,7395,44142,0.182061,0,7,0
0000159,-002.100,-002.000,0000.200,0000.0,0000.0,2492,1570,924,53,1600,12950,7912,42775,0.170954,0,7,0
0000160,-002.050,-002.000,0000.200,0000.0,0000.0,2584,1270,860,261,1483,13260,7842,42582,0.20025,0,9,0
0000161,-002.000,-002.000,0000.200,0000.0,0000.0,2555,1415,792,145,1537,12532,7412,43256,0.165782,0,8,0
0000162,-001.950,-002.000,0000.200,0000.0,0000.0,2518,1360,798,237,1359,13930,8015,42036,0.189076,0,8,0
0000163,-001.900,-002.000,0000.200,0000.0,0000.0,2084,1884,1190,147,1372,14902,8304,41051,0.243667,0,5,0
0000164,-001.850,-002.000,0000.200,0000.0,0000.0,2589,1495,755,31,1365,13677,7813,42283,0.143431,0,4,0
0000165,-001.800,-002.000,0000.200,0000.0,0000.0,2408,1552,794,155,1273,15140,8510,40912,0.176132,0,5,0
0000166,-001.750,-002.000,0000.200,0000.0,0000.0,2732,1363,855,20,1540,16540,9017,39245,0.15473,0,7,0
0000167,-001.700,-002.000,0000.200,0000.0,0000.0,2714,1386,608,15,1179,12247,6793,43899,0.11768,0,6,0
0000168,-001.650,-002.000,0000.200,0000.0,0000.0,3632,463,136,20,955,10032,5655,46338,0.0307692,0,5,0
0000169,-001.600,-002.000,0000.200,0000.0,0000.0,3629,467,203,19,879,9750,5460,46696,0.0444533,0,4,0
0000170,-001.550,-002.000,0000.200,0000.0,0000.0,3289,820,402,6,941,8836,4958,47548,0.0806962,0,6,0
0000171,-001.500,-002.000,0000.200,0000.0,0000.0,3710,400,301,5,700,5641,3219,50984,0.0635514,0,5,0
0000172,-001.450,-002.000,0000.200,0000.0,0000.0,3694,304,232,117,640,6673,3725,50012,0.0733964,0,5,0
0000173,-001.400,-002.000,0000.200,0000.0,0000.0,3460,644,287,11,682,6742,3814,49901,0.0621222,0,3,0
0000174,-001.350,-002.000,0000.200,0000.0,0000.0,3336,767,305,12,780,6796,3887,49749,0.06476,0,4,0
0000175,-001.300,-002.000,0000.200,0000.0,0000.0,3293,700,399,122,705,7216,4038,49404,0.108091,0,5,0
0000176,-001.250,-002.000,0000.200,0000.0,0000.0,3180,825,480,110,762,7568,4251,48995,0.120976,0,5,0
0000177,-001.200,-002.000,0000.200,0000.0,0000.0,2887,1199,614,29,1009,7751,4512,48565,0.125488,0,4,0
0000178,-001.150,-002.000,0000.200,0000.0,0000.0,3059,1028,504,28,1035,9002,5313,47288,0.103301,0,4,0
0000179,-001.100,-002.000,0000.200,0000.0,0000.0,3137,858,416,120,1230,10654,6375,45441,0.100281,0,5,0
0000180,-001.050,-002.000,0000.200,0000.0,0000.0,3171,910,468,34,1463,13083,7498,42779,0.0899964,0,5,0
0000181,-001.000,-002.000,0000.200,0000.0,0000.0,2953,1121,638,41,1558,14702,8008,41065,0.11969,0,4,0
0000182,-000.950,-002.000,0000.200,0000.0,0000.0,3500,481,336,134,1187,13519,7214,42619,0.0886458,0,4,0
0000183,-000.900,-002.000,0000.200,0000.0,0000.0,2963,1128,757,24,1405,13489,6934,42431,0.141486,0,4,0
0000184,-000.850,-002.000,0000.200,0000.0,0000.0,2353,1736,585,26,1423,13136,7224,42766,0.110329,0,4,0
0000185,-000.800,-002.000,0000.200,0000.0,0000.0,2211,1887,730,17,1419,12760,6971,43146,0.134984,0,6,0
0000186,-000.750,-002.000,0000.200,0000.0,0000.0,2708,1390,864,17,1395,12475,6594,43455,0.159891,0,6,0
0000187,-000.700,-002.000,0000.200,0000.0,0000.0,2605,1497,763,13,1022,9796,5134,46507,0.151061,0,5,0
0000188,-000.650,-002.000,0000.200,0000.0,0000.0,3647,447,308,21,1104,10847,5621,45374,0.0630389,0,6,0
0000189,-000.600,-002.000,0000.200,0000.0,0000.0,3861,244,84,10,859,8000,4396,48466,0.0188983,0,4,0
0000190,-000.550,-002.000,0000.200,0000.0,0000.0,3638,466,140,11,952,7976,4512,48397,0.0298007,0,5,0
0000191,-000.500,-002.000,0000.200,0000.0,0000.0,3124,844,486,147,711,7849,4348,48765,0.131165,0,5,0
0000192,-000.450,-002.000,0000.200,0000.0,0000.0,3713,397,203,5,867,8336,4712,48122,0.0417503,0,5,0
0000193,-000.400,-002.000,0000.200,0000.0,0000.0,3721,389,263,5,739,4777,2847,51809,0.0552122,0,5,0
0000194,-000.350,-002.000,0000.200,0000.0,0000.0,3705,183,140,227,716,5716,3493,50893,0.0759677,0,6,0
0000195,-000.300,-002.000,0000.200,0000.0,0000.0,3580,515,320,20,958,5842,3647,50525,0.0670215,0,4,0
0000196,-000.250,-002.000,0000.200,0000.0,0000.0,3345,740,340,30,969,6106,3987,50250,0.0727773,0,4,0
0000197,-000.200,-002.000,0000.200,0000.0,0000.0,3036,1044,585,35,975,6384,4099,49966,0.121807,0,4,0
0000198,-000.150,-002.000,0000.200,0000.0,0000.0,2993,871,675,251,768,7458,4532,49099,0.189638,0,5,0
0000199,-000.100,-002.000,0000.200,0000.0,0000.0,2669,1309,718,137,906,8105,5099,48314,0.170285,0,4,0
0000200,-000.050,-002.000,0000.200,0000.0,0000.0,2626,1358,862,131,945,9135,5390,47245,0.196245,0,4,0
0000201,-010.000,-001.950,0000.200,0000.0,0000.0,2848,1139,681,128,981,8932,4982,47412,0.158752,0,5,0
0000202,-009.950,-001.950,0000.200,0000.0,0000.0,2836,1068,645,211,1082,9390,5246,46853,0.16471,0,6,0
0000203,-009.900,-001.950,0000.200,0000.0,0000.0,2928,1162,505,25,1398,9924,5702,46003,0.0961364,0,5,0
0000204,-009.850,-001.950,0000.200,0000.0,0000.0,3224,773,358,118,1228,11096,6261,45001,0.0890885,0,5,0
0000205,-009.800,-001.950,0000.200,0000.0,0000.0,3409,686,244,20,1333,11447,6385,44545,0.0484581,0,4,0
0000206,-009.750,-001.950,0000.200,0000.0,0000.0,3193,901,346,21,1451,11426,6382,44448,0.065936,0,5,0
0000207,-009.700,-001.950,0000.200,0000.0,0000.0,3060,1024,426,31,1463,11839,6684,44023,0.081929,0,5,0
0000208,-009.650,-001.950,0000.200,0000.0,0000.0,3641,460,144,14,1564,12751,7260,43010,0.0278218,0,8,0
0000209,-009.600,-001.950,0000.200,0000.0,0000.0,3143,952,283,20,1105,9153,5465,47067,0.058046,0,5,0
0000210,-009.550,-001.950,0000.200,0000.0,0000.0,3555,553,170,7,1229,10183,5964,45913,0.0331213,0,7,0
0000211,-009.500,-001.950,0000.200,0000.0,0000.0,3543,456,258,116,950,8209,4742,48166,0.0738401,0,6,0
0000212,-009.450,-001.950,0000.200,0000.0,0000.0,2971,1133,366,11,1071,9248,5161,47006,0.0726957,0,5,0
0000213,-009.400,-001.950,0000.200,0000.0,0000.0,3164,940,535,11,1126,10103,5419,46096,0.104179,0,5,0
0000214,-009.350,-001.950,0000.200,0000.0,0000.0,2699,1161,639,255,887,10329,5627,46109,0.178729,0,5,0
0000215,-009.300,-001.950,0000.200,0000.0,0000.0,2967,926,518,222,789,7432,4258,49104,0.150897,0,6,0
0000216,-009.250,-001.950,0000.200,0000.0,0000.0,3561,539,167,15,1018,9678,5656,46629,0.0354568,0,4,0
0000217,-009.200,-001.950,0000.200,0000.0,0000.0,3759,350,77,6,968,9568,5228,46789,0.0163289,0,6,0
0000218,-009.150,-001.950,0000.200,0000.0,0000.0,3826,277,89,12,888,6558,3590,49879,0.0201879,0,6,0
0000219,-009.100,-001.950,0000.200,0000.0,0000.0,3823,280,94,12,997,7003,3930,49325,0.0207355,0,6,0
0000220,-009.050,-001.950,0000.200,0000.0,0000.0,3745,363,85,7,1143,9995,6023,46187,0.0174971,0,7,0
0000221,-009.000,-001.950,0000.200,0000.0,0000.0,3921,190,51,4,629,4508,2685,52188,0.0115936,0,4,0
